Year,State,1,2,3,4
2016,AL,0,72,24,36
2016,AR,0,17,4,5
2016,AZ,0,1927,352,456
2016,CA,96,85601,51347,1182
2016,CO,0,700,214,406
2016,CT,7,2087,1738,326
2016,DC,0,164,108,44
2016,DE,0,111,67,103
2016,FL,15,25771,10052,764
2016,GA,5,5101,7222,786
2016,IA,2,899,677,181
2016,ID,0,297,49,46
2016,IL,1,12454,4250,356
2016,IN,0,720,407,463
2016,KS,0,341,43,60
2016,KY,1,660,172,226
2016,LA,0,569,112,167
2016,MA,5,3039,1575,39
2016,MD,14,2670,2648,508
2016,ME,0,81,7,41
2016,MI,6,10815,5180,620
2016,MN,0,2333,177,48
2016,MO,5,2126,1344,192
2016,MS,0,289,69,36
2016,MT,0,37,13,12
2016,NC,0,5619,241,252
2016,ND,0,0,0,3
2016,NE,3,5047,690,43
2016,NH,0,223,35,52
2016,NJ,1,4971,2036,556
2016,NM,0,93,25,35
2016,NV,0,1156,99,93
2016,NY,3,11299,7572,998
2016,OH,6,7129,2915,1204
2016,OK,0,440,30,78
2016,OR,0,555,186,230
2016,PA,12,17258,2499,1143
2016,RI,0,750,605,9
2016,SC,1,2265,558,104
2016,SD,0,1,3,4
2016,TN,0,1164,286,236
2016,TX,23,36545,11885,429
2016,UT,0,697,129,102
2016,VA,8,3291,2503,535
2016,VT,0,2,1,13
2016,WA,6,6267,2766,213
2016,WI,0,1075,135,340
2016,WV,0,286,67,70
2016,WY,0,27,8,33
2017,AL,3,1291,1444,126
2017,AR,0,44,32,52
2017,AZ,7,8906,2292,811
2017,CA,85,90977,56809,1538
2017,CO,2,4438,1947,669
2017,CT,4,3086,3141,489
2017,DC,0,266,180,61
2017,DE,0,641,85,164
2017,FL,25,39601,18776,1496
2017,GA,9,8250,12023,1561
2017,IA,0,1361,1301,332
2017,ID,0,229,43,79
2017,IL,8,17420,7099,744
2017,IN,4,4514,1688,632
2017,KS,0,522,306,52
2017,KY,2,1525,1586,146
2017,LA,2,9916,2143,143
2017,MA,2,4938,3192,54
2017,MD,8,4232,4232,1348
2017,ME,0,543,20,19
2017,MI,4,15890,10373,1175
2017,MN,1,4603,5654,99
2017,MO,0,3537,3321,328
2017,MS,0,484,471,68
2017,MT,0,69,29,35
2017,NC,6,29634,3878,529
2017,ND,0,1,3,0
2017,NE,4,5172,944,68
2017,NH,0,1703,243,61
2017,NJ,5,8920,3721,695
2017,NM,0,653,394,90
2017,NV,0,1504,819,155
2017,NY,8,21234,14026,1496
2017,OH,3,7999,4061,1528
2017,OK,7,8376,951,142
2017,OR,0,4240,1321,525
2017,PA,11,20892,4228,1396
2017,RI,0,1134,1420,17
2017,SC,3,20815,6778,175
2017,SD,0,6,2,4
2017,TN,7,7084,3544,367
2017,TX,38,59567,22101,871
2017,UT,0,2013,2273,222
2017,VA,6,9202,8223,1136
2017,VT,1,112,23,15
2017,WA,10,11659,5919,615
2017,WI,0,1875,1445,758
2017,WV,1,384,130,183
2017,WY,0,37,17,58
2018,AL,10,8302,5486,152
2018,AR,0,228,147,187
2018,AZ,8,16498,4979,843
2018,CA,39,95135,57235,1555
2018,CO,1,8057,5149,754
2018,CT,4,2840,3093,449
2018,DC,0,360,208,99
2018,DE,2,1314,155,166
2018,FL,16,39565,23348,2045
2018,GA,6,9811,12442,1934
2018,IA,0,1049,1306,77
2018,ID,0,358,40,2
2018,IL,6,16406,6729,782
2018,IN,10,9378,3471,688
2018,KS,0,577,596,70
2018,KY,3,3375,4341,173
2018,LA,11,16056,3963,283
2018,MA,4,4738,3648,71
2018,MD,1,4037,3474,1042
2018,ME,0,659,15,3
2018,MI,12,13689,9138,1364
2018,MN,3,8390,11492,87
2018,MO,2,3039,4967,462
2018,MS,0,1305,1093,71
2018,MT,0,65,66,21
2018,NC,9,46859,8041,725
2018,ND,0,15,3,0
2018,NE,3,4757,1005,50
2018,NH,1,1980,488,16
2018,NJ,8,9368,4202,647
2018,NM,1,1237,791,74
2018,NV,0,1381,1162,86
2018,NY,6,20805,14983,1359
2018,OH,6,10228,5694,1609
2018,OK,4,18305,1790,87
2018,OR,0,18891,2725,601
2018,PA,7,14736,5915,1165
2018,RI,0,1369,1795,41
2018,SC,10,41724,12825,223
2018,SD,0,8,1,4
2018,TN,9,15320,8600,417
2018,TX,40,57629,22880,1047
2018,UT,3,6078,4017,304
2018,VA,4,12994,11110,1402
2018,VT,0,144,34,9
2018,WA,4,11356,6704,780
2018,WI,0,1911,2413,688
2018,WV,0,367,192,98
2018,WY,0,38,106,51
2019,AL,6,14051,4860,187
2019,AR,0,532,229,191
2019,AZ,5,18203,3834,820
2019,CA,18,164480,41980,1929
2019,CO,2,7955,8263,1233
2019,CT,2,2613,2432,402
2019,DC,1,1022,220,139
2019,DE,1,1380,92,139
2019,FL,15,38269,18555,2980
2019,GA,7,11053,10239,2148
2019,IA,1,1171,1400,224
2019,ID,0,427,49,62
2019,IL,0,12441,6596,873
2019,IN,3,3869,3108,679
2019,KS,0,717,893,107
2019,KY,1,3840,2772,195
2019,LA,5,15024,3629,303
2019,MA,1,5395,3620,73
2019,MD,6,5528,2975,1102
2019,ME,1,574,25,31
2019,MI,6,12201,6590,1542
2019,MN,5,21268,7663,110
2019,MO,0,3484,5088,418
2019,MS,1,1188,681,82
2019,MT,0,92,27,36
2019,NC,15,38588,6331,729
2019,ND,0,4,5,7
2019,NE,2,3821,718,86
2019,NH,1,1698,455,31
2019,NJ,5,8770,3396,704
2019,NM,0,785,699,123
2019,NV,1,1946,941,90
2019,NY,5,28465,12860,1505
2019,OH,1,8312,4313,556
2019,OK,4,18524,1855,66
2019,OR,2,36971,2638,955
2019,PA,6,13998,4995,939
2019,RI,0,1495,1425,30
2019,SC,26,47097,10588,428
2019,SD,0,2,2,23
2019,TN,4,14864,5775,436
2019,TX,19,57379,19948,1011
2019,UT,0,18716,3507,469
2019,VA,10,14513,9055,1298
2019,VT,0,148,51,21
2019,WA,10,8004,5639,1027
2019,WI,1,4051,2168,649
2019,WV,0,292,74,101
2019,WY,0,26,43,41
2020,AL,114,15400,3883,270
2020,AR,11,2535,91,271
2020,AZ,6653,18542,2060,704
2020,CA,5443,240625,25242,2397
2020,CO,516,6595,5789,780
2020,CT,5,6164,2128,775
2020,DC,39,1958,250,297
2020,DE,8,1880,261,289
2020,FL,2925,104749,15398,2189
2020,GA,378,12573,8124,1689
2020,IA,3,2192,1019,294
2020,ID,0,1841,24,122
2020,IL,252,9776,14109,659
2020,IN,43,3807,3132,526
2020,KS,5,1383,1112,91
2020,KY,34,3872,1462,142
2020,LA,1187,20314,3287,419
2020,MA,169,7775,2962,165
2020,MD,237,13704,3099,1662
2020,ME,0,212,57,8
2020,MI,32,10984,3672,810
2020,MN,33,34178,3263,166
2020,MO,64,4985,4760,374
2020,MS,4,1345,528,85
2020,MT,0,2211,6,12
2020,NC,1763,39570,4726,1310
2020,ND,0,342,1,0
2020,NE,26,1981,391,76
2020,NH,2,1081,369,31
2020,NJ,75,13689,3192,1227
2020,NM,49,965,307,82
2020,NV,3,2013,302,35
2020,NY,707,34619,10298,2079
2020,OH,514,12099,3767,713
2020,OK,59,11828,1572,37
2020,OR,1269,28922,1553,1425
2020,PA,178,33412,6052,1939
2020,RI,71,1272,990,14
2020,SC,78,55150,5221,645
2020,SD,0,147,0,6
2020,TN,1445,21500,4651,401
2020,TX,960,52265,17058,1503
2020,UT,377,12041,2005,176
2020,VA,1712,29065,7858,2004
2020,VT,0,111,54,13
2020,WA,505,8331,3757,468
2020,WI,32,1871,1747,273
2020,WV,1,971,47,83
2020,WY,0,8,4,15
2021,AL,3,17934,3590,421
2021,AR,0,5616,54,656
2021,AZ,3,26479,2020,384
2021,CA,16,275855,21979,1091
2021,CO,1,6899,2925,660
2021,CT,0,11546,2272,573
2021,DC,0,4068,38,43
2021,DE,0,3225,31,242
2021,FL,11,199147,11132,1377
2021,GA,3,11373,6562,962
2021,IA,1,4933,721,502
2021,ID,0,3745,9,165
2021,IL,0,12940,14327,153
2021,IN,1,8750,2268,1008
2021,KS,0,2770,617,117
2021,KY,0,3053,1355,139
2021,LA,8,27558,2719,338
2021,MA,1,9418,1833,61
2021,MD,1,21311,1385,1372
2021,ME,0,115,115,13
2021,MI,32,17620,3838,454
2021,MN,2,36282,1054,158
2021,MO,0,10285,3505,352
2021,MS,0,2415,445,170
2021,MT,0,7621,2,88
2021,NC,10,53861,3340,2043
2021,ND,0,1200,0,2
2021,NE,1,1709,254,141
2021,NH,0,779,294,35
2021,NJ,2,19122,2564,666
2021,NM,2,1733,363,67
2021,NV,0,3460,254,89
2021,NY,5,42115,6588,1316
2021,OH,1,7959,5685,126
2021,OK,5,8423,453,13
2021,OR,4,31371,876,633
2021,PA,2,54938,4279,3498
2021,RI,0,1456,821,3
2021,SC,7,67600,3589,731
2021,SD,0,24,0,3
2021,TN,4,31298,3716,613
2021,TX,14,76460,15147,459
2021,UT,2,14356,1648,93
2021,VA,2,46922,5967,3416
2021,VT,0,57,34,10
2021,WA,3,10911,3620,297
2021,WI,0,1507,1316,158
2021,WV,0,3103,9,130
2021,WY,0,558,0,72
2022,AL,530,13483,2030,363
2022,AR,26,5479,90,779
2022,AZ,653,25230,1151,435
2022,CA,4386,241797,12179,1786
2022,CO,446,11259,1743,1449
2022,CT,50,12131,1495,602
2022,DC,98,4707,21,39
2022,DE,222,1773,21,252
2022,FL,3993,173314,5550,1120
2022,GA,584,17766,3925,1770
2022,IA,50,2856,365,185
2022,ID,1,1255,2,16
2022,IL,1323,13256,4253,346
2022,IN,261,7832,1559,874
2022,KS,29,4112,342,122
2022,KY,250,1295,709,125
2022,LA,1252,21516,1483,141
2022,MA,1307,3669,980,21
2022,MD,149,19267,729,1220
2022,ME,3,25,75,1
2022,MI,954,17511,1584,906
2022,MN,439,25319,206,97
2022,MO,198,11582,1979,411
2022,MS,24,2120,220,175
2022,MT,0,9206,0,135
2022,NC,3285,44318,2386,2279
2022,ND,0,758,2,1
2022,NE,54,888,134,51
2022,NH,78,223,158,15
2022,NJ,101,26950,1585,678
2022,NM,101,723,253,57
2022,NV,116,2782,87,69
2022,NY,507,61556,3081,1010
2022,OH,1169,14716,4002,327
2022,OK,1222,5940,86,17
2022,OR,48,19022,366,720
2022,PA,1486,49288,2698,2847
2022,RI,117,781,468,0
2022,SC,5946,53718,2170,413
2022,SD,0,10,0,6
2022,TN,861,24676,1830,611
2022,TX,3112,58622,8547,1058
2022,UT,215,10143,835,74
2022,VA,1304,57648,3483,3837
2022,VT,2,19,14,2
2022,WA,325,9478,1363,355
2022,WI,57,4876,337,311
2022,WV,0,3490,1,91
2022,WY,0,1093,1,120
2023,AL,0,586,0,22
2023,AR,0,639,0,115
2023,AZ,0,4048,0,86
2023,CA,0,48788,0,143
2023,CO,0,2474,0,302
2023,CT,0,1611,0,98
2023,DC,0,468,0,3
2023,DE,0,89,0,16
2023,FL,0,14605,0,215
2023,GA,0,5122,0,494
2023,IA,0,297,0,25
2023,ID,0,136,0,0
2023,IL,0,2834,0,144
2023,IN,0,888,0,111
2023,KS,0,634,0,7
2023,KY,0,49,0,3
2023,LA,0,2045,0,2
2023,MA,0,71,0,6
2023,MD,0,1717,0,75
2023,MI,0,3158,0,178
2023,MN,0,5996,0,8
2023,MO,0,1509,0,39
2023,MS,0,176,0,20
2023,MT,0,1370,0,4
2023,NC,0,5476,0,537
2023,ND,0,145,0,0
2023,NE,0,61,0,4
2023,NJ,0,2933,0,75
2023,NM,0,26,0,5
2023,NV,0,722,0,30
2023,NY,0,7173,0,140
2023,OH,0,3331,0,105
2023,OK,0,416,0,1
2023,OR,0,3796,0,124
2023,PA,0,5972,0,429
2023,RI,0,34,0,0
2023,SC,0,5656,0,56
2023,TN,0,1632,0,39
2023,TX,0,9195,0,117
2023,UT,0,1359,0,12
2023,VA,0,6653,0,757
2023,WA,0,1271,0,39
2023,WI,0,1326,0,39
2023,WV,0,767,0,8
2023,WY,0,170,0,25
