Year,State,Total_Accidents,Population,Accident_Rate
2016,AL,132,,
2016,AR,26,,
2016,AZ,2735,,
2016,CA,138226,39145000.0,353.112785796398
2016,CO,1320,,
2016,CT,4158,,
2016,DC,316,,
2016,DE,281,,
2016,FL,36602,20278000.0,180.50103560508927
2016,GA,13114,,
2016,IA,1759,,
2016,ID,392,,
2016,IL,17061,,
2016,IN,1590,,
2016,KS,444,,
2016,KY,1059,,
2016,LA,848,,
2016,MA,4658,,
2016,MD,5840,,
2016,ME,129,,
2016,MI,16621,,
2016,MN,2558,,
2016,MO,3667,,
2016,MS,394,,
2016,MT,62,,
2016,NC,6112,,
2016,ND,3,,
2016,NE,5783,,
2016,NH,310,,
2016,NJ,7564,,
2016,NM,153,,
2016,NV,1348,,
2016,NY,19872,19796000.0,100.38391594261466
2016,OH,11254,,
2016,OK,548,,
2016,OR,971,,
2016,PA,20912,,
2016,RI,1364,,
2016,SC,2928,,
2016,SD,8,,
2016,TN,1686,,
2016,TX,48882,27469000.0,177.95332920747023
2016,UT,928,,
2016,VA,6337,,
2016,VT,16,,
2016,WA,9252,,
2016,WI,1550,,
2016,WV,423,,
2016,WY,68,,
2017,AL,2864,,
2017,AR,128,,
2017,AZ,12016,,
2017,CA,149409,39250000.0,380.65987261146495
2017,CO,7056,,
2017,CT,6720,,
2017,DC,507,,
2017,DE,890,,
2017,FL,59898,20612000.0,290.59771007180285
2017,GA,21843,,
2017,IA,2994,,
2017,ID,351,,
2017,IL,25271,,
2017,IN,6838,,
2017,KS,880,,
2017,KY,3259,,
2017,LA,12204,,
2017,MA,8186,,
2017,MD,9820,,
2017,ME,582,,
2017,MI,27442,,
2017,MN,10357,,
2017,MO,7186,,
2017,MS,1023,,
2017,MT,133,,
2017,NC,34047,,
2017,ND,4,,
2017,NE,6188,,
2017,NH,2007,,
2017,NJ,13341,,
2017,NM,1137,,
2017,NV,2478,,
2017,NY,36764,19849000.0,185.21839891178396
2017,OH,13591,,
2017,OK,9476,,
2017,OR,6086,,
2017,PA,26527,,
2017,RI,2571,,
2017,SC,27771,,
2017,SD,12,,
2017,TN,11002,,
2017,TX,82577,27862000.0,296.37858014500034
2017,UT,4508,,
2017,VA,18567,,
2017,VT,151,,
2017,WA,18203,,
2017,WI,4078,,
2017,WV,698,,
2017,WY,112,,
2018,AL,13950,,
2018,AR,562,,
2018,AZ,22328,,
2018,CA,153964,39368000.0,391.0892095102621
2018,CO,13961,,
2018,CT,6386,,
2018,DC,667,,
2018,DE,1637,,
2018,FL,64974,20950000.0,310.1384248210024
2018,GA,24193,,
2018,IA,2432,,
2018,ID,400,,
2018,IL,23923,,
2018,IN,13547,,
2018,KS,1243,,
2018,KY,7892,,
2018,LA,20313,,
2018,MA,8461,,
2018,MD,8554,,
2018,ME,677,,
2018,MI,24203,,
2018,MN,19972,,
2018,MO,8470,,
2018,MS,2469,,
2018,MT,152,,
2018,NC,55634,,
2018,ND,18,,
2018,NE,5815,,
2018,NH,2485,,
2018,NJ,14225,,
2018,NM,2103,,
2018,NV,2629,,
2018,NY,37153,19800000.0,187.64141414141415
2018,OH,17537,,
2018,OK,20186,,
2018,OR,22217,,
2018,PA,21823,,
2018,RI,3205,,
2018,SC,54782,,
2018,SD,13,,
2018,TN,24346,,
2018,TX,81596,28200000.0,289.34751773049646
2018,UT,10402,,
2018,VA,25510,,
2018,VT,187,,
2018,WA,18844,,
2018,WI,5012,,
2018,WV,657,,
2018,WY,195,,
2019,AL,19104,,
2019,AR,952,,
2019,AZ,22862,,
2019,CA,208407,39461000.0,528.1341070930793
2019,CO,17453,,
2019,CT,5449,,
2019,DC,1382,,
2019,DE,1612,,
2019,FL,59819,21300000.0,280.84037558685446
2019,GA,23447,,
2019,IA,2796,,
2019,ID,538,,
2019,IL,19910,,
2019,IN,7659,,
2019,KS,1717,,
2019,KY,6808,,
2019,LA,18961,,
2019,MA,9089,,
2019,MD,9611,,
2019,ME,631,,
2019,MI,20339,,
2019,MN,29046,,
2019,MO,8990,,
2019,MS,1952,,
2019,MT,155,,
2019,NC,45663,,
2019,ND,16,,
2019,NE,4627,,
2019,NH,2185,,
2019,NJ,12875,,
2019,NM,1607,,
2019,NV,2978,,
2019,NY,42835,19750000.0,216.8860759493671
2019,OH,13182,,
2019,OK,20449,,
2019,OR,40566,,
2019,PA,19938,,
2019,RI,2950,,
2019,SC,58139,,
2019,SD,27,,
2019,TN,21079,,
2019,TX,78357,28700000.0,273.02090592334497
2019,UT,22692,,
2019,VA,24876,,
2019,VT,220,,
2019,WA,14680,,
2019,WI,6869,,
2019,WV,467,,
2019,WY,110,,
2020,AL,19667,,
2020,AR,2908,,
2020,AZ,27959,,
2020,CA,273707,39512000.0,692.7186677465073
2020,CO,13680,,
2020,CT,9072,,
2020,DC,2544,,
2020,DE,2438,,
2020,FL,125261,21500000.0,582.6093023255814
2020,GA,22764,,
2020,IA,3508,,
2020,ID,1987,,
2020,IL,24796,,
2020,IN,7508,,
2020,KS,2591,,
2020,KY,5510,,
2020,LA,25207,,
2020,MA,11071,,
2020,MD,18702,,
2020,ME,277,,
2020,MI,15498,,
2020,MN,37640,,
2020,MO,10183,,
2020,MS,1962,,
2020,MT,2229,,
2020,NC,47369,,
2020,ND,343,,
2020,NE,2474,,
2020,NH,1483,,
2020,NJ,18183,,
2020,NM,1403,,
2020,NV,2353,,
2020,NY,47703,19600000.0,243.38265306122446
2020,OH,17093,,
2020,OK,13496,,
2020,OR,33169,,
2020,PA,41581,,
2020,RI,2347,,
2020,SC,61094,,
2020,SD,153,,
2020,TN,27997,,
2020,TX,71786,29000000.0,247.53793103448277
2020,UT,14599,,
2020,VA,40639,,
2020,VT,178,,
2020,WA,13061,,
2020,WI,3923,,
2020,WV,1102,,
2020,WY,27,,
2021,AL,21948,,
2021,AR,6326,,
2021,AZ,28886,,
2021,CA,298941,39538000.0,756.0852850422378
2021,CO,10485,,
2021,CT,14391,,
2021,DC,4149,,
2021,DE,3498,,
2021,FL,211667,21700000.0,975.4239631336407
2021,GA,18900,,
2021,IA,6157,,
2021,ID,3919,,
2021,IL,27420,,
2021,IN,12027,,
2021,KS,3504,,
2021,KY,4547,,
2021,LA,30623,,
2021,MA,11313,,
2021,MD,24069,,
2021,ME,243,,
2021,MI,21944,,
2021,MN,37496,,
2021,MO,14142,,
2021,MS,3030,,
2021,MT,7711,,
2021,NC,59254,,
2021,ND,1202,,
2021,NE,2105,,
2021,NH,1108,,
2021,NJ,22354,,
2021,NM,2165,,
2021,NV,3803,,
2021,NY,50024,19500000.0,256.53333333333336
2021,OH,13771,,
2021,OK,8894,,
2021,OR,32884,,
2021,PA,62717,,
2021,RI,2280,,
2021,SC,71927,,
2021,SD,27,,
2021,TN,35631,,
2021,TX,92080,29100000.0,316.426116838488
2021,UT,16099,,
2021,VA,56307,,
2021,VT,101,,
2021,WA,14831,,
2021,WI,2981,,
2021,WV,3242,,
2021,WY,630,,
2022,AL,16406,,
2022,AR,6374,,
2022,AZ,27469,,
2022,CA,260148,39577000.0,657.3211713874219
2022,CO,14897,,
2022,CT,14278,,
2022,DC,4865,,
2022,DE,2268,,
2022,FL,183977,21900000.0,840.0776255707763
2022,GA,24045,,
2022,IA,3456,,
2022,ID,1274,,
2022,IL,19178,,
2022,IN,10526,,
2022,KS,4605,,
2022,KY,2379,,
2022,LA,24392,,
2022,MA,5977,,
2022,MD,21365,,
2022,ME,104,,
2022,MI,20955,,
2022,MN,26061,,
2022,MO,14170,,
2022,MS,2539,,
2022,MT,9341,,
2022,NC,52268,,
2022,ND,761,,
2022,NE,1127,,
2022,NH,474,,
2022,NJ,29314,,
2022,NM,1134,,
2022,NV,3054,,
2022,NY,66154,19400000.0,341.0
2022,OH,20214,,
2022,OK,7265,,
2022,OR,20156,,
2022,PA,56319,,
2022,RI,1366,,
2022,SC,62247,,
2022,SD,16,,
2022,TN,27978,,
2022,TX,71339,29300000.0,243.4778156996587
2022,UT,11267,,
2022,VA,66272,,
2022,VT,37,,
2022,WA,11521,,
2022,WI,5581,,
2022,WV,3582,,
2022,WY,1214,,
2023,AL,608,,
2023,AR,754,,
2023,AZ,4134,,
2023,CA,48931,39600000.0,123.56313131313131
2023,CO,2776,,
2023,CT,1709,,
2023,DC,471,,
2023,DE,105,,
2023,FL,14820,22000000.0,67.36363636363636
2023,GA,5616,,
2023,IA,322,,
2023,ID,136,,
2023,IL,2978,,
2023,IN,999,,
2023,KS,641,,
2023,KY,52,,
2023,LA,2047,,
2023,MA,77,,
2023,MD,1792,,
2023,MI,3336,,
2023,MN,6004,,
2023,MO,1548,,
2023,MS,196,,
2023,MT,1374,,
2023,NC,6013,,
2023,ND,145,,
2023,NE,65,,
2023,NJ,3008,,
2023,NM,31,,
2023,NV,752,,
2023,NY,7313,19300000.0,37.891191709844556
2023,OH,3436,,
2023,OK,417,,
2023,OR,3920,,
2023,PA,6401,,
2023,RI,34,,
2023,SC,5712,,
2023,TN,1671,,
2023,TX,9312,29500000.0,31.566101694915254
2023,UT,1371,,
2023,VA,7410,,
2023,WA,1310,,
2023,WI,1365,,
2023,WV,775,,
2023,WY,195,,
